15,9,15,4
15,9,9,27
15,9,27,14
15,9,5,27
15,9,21,5
15,9,27,14
15,9,19,27
15,9,15,4
15,9,21,5
15,9,27,14
15,9,21,5
15,9,13,13
15,9,27,14
15,9,13,13
15,9,15,4
15,9,4,21
15,9,5,27
15,9,12,27
15,9,15,4
15,9,27,14
15,9,4,21
15,9,5,27
15,9,27,14
15,9,1,9
15,9,16,5
15,9,18,15
15,9,5,27
15,9,14,15
15,9,4,21
15,9,9,27
15,9,26,5
15,9,1,9
15,9,4,21
15,9,15,4
15,9,27,14
15,9,4,21
15,9,5,27
15,9,27,14
15,9,13,13
15,9,1,9
15,9,17,12
15,9,21,5
15,9,9,27
15,9,14,15
15,9,1,9
15,9,27,14
15,9,16,5
15,9,1,9
15,9,18,15
15,9,1,9
15,9,27,14
15,9,18,15
15,9,5,27
15,9,19,27
15,9,16,5
15,9,15,4
15,9,14,15
15,9,4,21
15,9,5,27
15,9,18,15
15,9,27,14
15,9,16,5
15,9,5,27
15,9,18,15
15,9,7,15
15,9,21,5
15,9,14,15
15,9,20,4
15,9,1,9
15,9,19,27
15,9,27,14
15,9,19,27
15,9,9,27
15,9,13,13
15,9,16,5
15,9,12,27
15,9,5,27
15,9,19,27
